Scores,PCA_Scores
0.6511,0.856
0.6512,0.8565
0.6491,0.8569
0.6484,0.8563
0.6529,0.8535
0.6521,0.8557
0.6517,0.8599
0.6575,0.8581
0.6552,0.8572
