Scores,PCA_Scores
0.9169,0.9601
0.9177,0.9604
0.9167,0.9602
0.9198,0.9616
0.9185,0.9602
0.9163,0.9595
0.9171,0.959
0.9184,0.9616
0.9163,0.9608
